day,time,C01,C02,C06,C07_minus_C14,C11,C12,C13,C14,C15,C16,temperature,humidity,pressure
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.029227219429494,8.756328751488773,29.84367907885484
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.07389543593297,8.791274470139214,29.840575384651327
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.1184369756397,8.826573993317613,29.837375355227525
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.16272199163019,8.862169479741254,29.834078877016818
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.206622661364634,8.89800449286408,29.830685730481907
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.25001400200091,8.934024404215462,29.82719556996686
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.29277460594162,8.970176750514689,29.82360790548828
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.334787290117234,9.006411541720505,29.819922086642105
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.37593965488701,9.042681518448454,29.816137288747342
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.41612455072192,9.078942358397299,29.81225250129284
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.455240452911205,9.115152832501428,29.808266518705626
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.49319174643757,9.151274912510983,29.80417793341147
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.529888924768564,9.187273832499075,29.799985131121293
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.56524870766894,9.22311810746896,29.795686288242834
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.599194084191645,9.258779512732984,29.791279371291118
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.63165428779135,9.294233028095698,29.786762138151
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.662564711009715,9.3294567510772,29.78213214103225
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.69186676643313,9.364431783357512,29.777386730919456
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.71950770769345,9.399142095633945,29.772523063514885
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.74544040358262,9.433574372876798,29.767538106099014
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.76962309151149,9.46771784682755,29.762428645667526
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.792019103492734,9.501564117360612,29.75719129781113
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.812596576434046,9.535106966951137,29.751822516340038
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.83132815172853,9.568342171299555,29.746318603497677
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.848190669495885,9.60126730832,29.740675720636546
8,201811081800,high,high,high,high,high,normal,high,high,high,high,61.69167213305875,8.495407922102077,29.865789547778373
8,201811081800,high,high,high,high,high,normal,high,high,high,high,61.73416764271132,8.52595527351782,29.863468159979128
8,201811081800,high,high,high,high,high,normal,high,high,high,high,61.777569337442024,8.557323077686473,29.86105072712517
8,201811081800,high,high,high,high,high,normal,high,high,high,high,61.82175916679056,8.589457111270708,29.858537229106062
8,201811081800,high,high,high,high,high,normal,high,high,high,high,61.866612953186866,8.622300341499853,29.855927731861325
8,201811081800,high,high,high,high,high,normal,high,high,high,high,61.912001458040244,8.655793504803098,29.853222361866816
8,201811081800,high,high,high,high,high,normal,high,high,high,high,61.95779149022899,8.689875700972287,29.85042127960407
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.00384703571949,8.724484991500889,29.84752465251205
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.05003038731077,8.759558991055657,29.844532627916443
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.096203254374416,8.795035441652686,29.841445306413544
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.142227833902965,8.830852760010233,29.838262716154777
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.18796782611804,8.866950549698942,29.834984788434248
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.233289380168166,8.903270071009187,29.831611334931168
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.27806195801833,8.939754662891476,29.82814202690036
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.32215910733692,8.976350112801075,29.824576376542822
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.365459136931726,9.013004971757816,29.820913720725326
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.40784569096449,9.049670813346848,29.81715320715644
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.44920822072812,9.086302436720846,29.813293783067525
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.489442355054244,9.122858014833856,29.809334186394324
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.52845017249842,9.15929919019108,29.80527293940537
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.56614038015064,9.1955911212325,29.801108344685172
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.60242840534889,9.231702483162685,29.796838483344153
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.637236407638376,9.267605427527297,29.792461215303668
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.670493219080164,9.30327550516954,29.78797418148434
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.70213422147301,9.33869155737143,29.78337480771509
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.732101168176655,9.373835579863282,29.77866031014378
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.76034196543824,9.4086925653659,29.773827702136217
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.78681040662296,9.44325032698509,29.768873802058234
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.811465886913076,9.477499309699615,29.763795242305733
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.834273091773795,9.51143239176051,29.758588479027576
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.85520167161878,9.545044680471943,29.753249802539386
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.87422590798914,9.578333305532745,29.747775348270157
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.891324376863004,9.611297212240492,29.742161108109908
8,201811081800,high,high,high,high,high,normal,high,high,high,high,61.701554119731185,8.49495631597235,29.8664956172489
8,201811081800,high,high,high,high,high,normal,high,high,high,high,61.745529232955036,8.526046463759137,29.86418493660449
8,201811081800,high,high,high,high,high,normal,high,high,high,high,61.790446570225335,8.557968843237228,29.861778678568434
8,201811081800,high,high,high,high,high,normal,high,high,high,high,61.83618050752886,8.59066570423501,29.859276934383992
8,201811081800,high,high,high,high,high,normal,high,high,high,high,61.88259904363939,8.624076431405825,29.856679879284
8,201811081800,high,high,high,high,high,normal,high,high,high,high,61.9295649747886,8.658138176805346,29.85398774485136
